round;alive_units;dead_units;average_hp;evades;attacks;health_picked;round_time
1;3;0;13.33333;3;40;2;32.4418
2;2;1;30.0;5;45;5;46.4362
3;0;3;NaN;4;39;4;39.5406
4;2;1;35.0;4;40;5;46.4534
5;2;1;25.0;3;41;7;42.4243
6;3;0;16.66667;1;27;1;26.3983
7;0;3;NaN;4;30;2;31.1072
8;1;2;20.0;4;44;6;75.271
9;1;2;20.0;4;41;5;45.0676
10;2;1;25.0;3;37;2;36.4692
11;0;3;NaN;3;41;2;58.6451
12;3;0;20.0;3;39;5;36.4422
13;2;1;20.0;4;42;4;52.4475
14;0;3;NaN;3;42;2;39.7205
15;1;2;30.0;3;47;9;62.5184
16;2;1;15.0;3;38;2;34.469
17;0;3;NaN;3;42;2;45.8052
18;1;2;20.0;9;42;6;70.271
19;2;1;30.0;4;41;4;38.462
20;1;2;10.0;3;42;1;42.4275
21;0;3;NaN;2;38;4;49.2688
22;1;2;40.0;5;44;7;64.2464
23;0;3;NaN;2;37;3;36.5019
24;0;3;NaN;0;42;4;39.57
25;2;1;25.0;6;44;4;44.465
26;2;1;20.0;3;43;6;42.469
27;3;0;30.0;2;34;2;30.4821
28;2;1;25.0;3;44;2;38.4493
29;2;1;25.0;3;42;5;38.4874
30;3;0;20.0;2;42;4;38.4813
31;3;0;23.33333;4;43;6;40.484
32;1;2;20.0;4;44;4;58.509
33;2;1;20.0;3;41;3;32.4602
34;3;0;26.66667;5;39;4;38.4617
35;0;3;NaN;4;38;4;41.7023
36;1;2;20.0;4;42;5;56.5187
37;3;0;20.0;3;34;1;32.677
38;0;3;NaN;3;34;2;32.468
39;2;1;20.0;3;42;1;40.4357
40;3;0;30.0;6;40;7;46.4698
41;1;2;20.0;4;42;5;59.9881
42;2;1;20.0;3;44;4;46.4611
43;2;1;15.0;3;45;5;48.4791
44;1;2;20.0;6;47;4;56.486
45;3;0;20.0;3;34;1;32.4571
46;0;3;NaN;4;45;6;72.2027
47;0;3;NaN;4;38;2;33.9454
48;1;2;10.0;4;44;1;46.4803
49;3;0;26.66667;6;44;4;50.4284
50;1;2;30.0;5;61;6;96.5279
