round;alive_units;dead_units;average_hp;evades;attacks;health_picked;round_time
1;0;3;NaN;8;35;0;32.4418
2;0;3;NaN;8;36;2;46.4362
3;1;2;10.0;9;38;0;39.5406
4;0;3;NaN;8;33;2;46.4534
5;0;3;NaN;10;38;0;42.4243
6;0;3;NaN;3;21;1;26.3983
7;3;0;20.0;6;32;0;31.1072
8;0;3;NaN;10;41;4;75.271
9;0;3;NaN;8;36;1;45.0676
10;0;3;NaN;7;30;1;36.4692
11;1;2;10.0;7;35;4;58.6451
12;0;3;NaN;8;34;0;36.4422
13;0;3;NaN;7;36;4;52.4475
14;1;2;20.0;9;37;2;39.7205
15;0;3;NaN;9;40;1;62.5184
16;0;3;NaN;8;32;0;34.469
17;1;2;10.0;8;36;1;45.8052
18;0;3;NaN;10;43;4;70.271
19;0;3;NaN;8;34;2;38.462
20;0;3;NaN;8;34;2;42.4275
21;1;2;20.0;8;34;3;49.2688
22;0;3;NaN;10;39;2;64.2464
23;2;1;20.0;8;34;1;36.5019
24;1;2;10.0;9;35;1;39.57
25;0;3;NaN;7;33;1;44.465
26;0;3;NaN;8;33;0;42.469
27;0;3;NaN;6;25;1;30.4821
28;0;3;NaN;7;32;1;38.4493
29;0;3;NaN;8;36;1;38.4874
30;0;3;NaN;8;33;2;38.4813
31;0;3;NaN;8;35;0;40.484
32;0;3;NaN;9;36;3;58.509
33;0;3;NaN;8;32;0;32.4602
34;0;3;NaN;8;32;1;38.4617
35;1;2;30.0;8;35;1;41.7023
36;0;3;NaN;8;39;2;56.5187
37;0;3;NaN;6;27;1;32.677
38;3;0;16.66667;7;34;0;32.468
39;0;3;NaN;8;33;2;40.4357
40;0;3;NaN;7;32;0;46.4698
41;0;3;NaN;9;38;2;59.9881
42;0;3;NaN;8;34;3;46.4611
43;0;3;NaN;9;35;1;48.4791
44;0;3;NaN;9;38;3;56.486
45;0;3;NaN;6;27;1;32.4571
46;1;2;10.0;10;40;3;72.2027
47;1;2;30.0;8;33;0;33.9454
48;0;3;NaN;7;31;3;46.4803
49;0;3;NaN;8;33;4;50.4284
50;0;3;NaN;9;37;5;96.5279
