round;alive_units;dead_units;average_hp;evades;attacks;health_picked;round_time
1;2;1;35.0;10;30;5;46.542
2;3;0;26.66667;9;28;6;38.7506
3;2;1;20.0;9;29;5;38.9491
4;2;1;35.0;9;32;3;33.2126
5;2;1;25.0;12;35;3;40.275
6;3;0;26.66667;10;32;5;34.6163
7;3;0;46.66667;9;31;4;34.8347
8;3;0;43.33333;10;33;5;35.6828
9;3;0;43.33333;11;33;3;35.7388
10;1;2;50.0;8;34;3;38.4604
11;2;1;25.0;10;34;2;41.7187
12;2;1;45.0;10;32;5;33.8699
13;2;1;20.0;10;38;3;42.3379
14;2;1;30.0;10;33;4;39.5723
15;0;3;NaN;11;31;3;40.4217
16;3;0;26.66667;12;37;6;41.778
17;2;1;25.0;9;35;2;41.9215
18;3;0;46.66667;7;27;3;34.6935
19;1;2;40.0;9;33;3;47.036
20;2;1;30.0;12;35;3;38.3958
21;3;0;50.0;8;24;2;24.8339
22;2;1;25.0;11;31;5;39.9485
23;1;2;30.0;10;28;3;36.0252
24;3;0;20.0;9;31;2;32.4926
25;3;0;20.0;12;30;5;37.5833
26;2;1;20.0;11;40;2;48.664
27;2;1;15.0;9;29;2;35.7329
28;3;0;46.66667;11;26;4;35.934
29;2;1;45.0;11;31;5;39.4427
30;3;0;20.0;12;32;5;40.0025
31;1;2;10.0;12;36;2;48.6824
32;3;0;36.66667;9;30;5;36.8939
33;2;1;50.0;10;33;4;37.7044
34;1;2;20.0;10;38;4;48.663
35;3;0;26.66667;11;36;4;39.427
36;3;0;16.66667;10;32;3;32.8627
37;1;2;40.0;9;27;4;50.7276
38;3;0;23.33333;14;38;6;43.9132
39;3;0;33.33333;9;36;1;36.066
40;3;0;30.0;9;33;2;33.0305
41;3;0;36.66667;12;40;4;44.8676
42;3;0;33.33333;12;36;3;39.2455
43;3;0;23.33333;11;34;2;35.6935
44;2;1;40.0;11;38;3;38.6108
45;3;0;20.0;10;31;4;34.6861
46;2;1;30.0;10;31;4;36.6484
47;1;2;50.0;10;38;2;49.51
48;1;2;10.0;10;34;3;39.2409
49;2;1;30.0;9;35;3;44.654
50;2;1;40.0;12;35;3;40.4867
