round;alive_units;dead_units;average_hp;evades;attacks;health_picked;round_time
1;0;3;NaN;9;33;2;48.4838
2;0;3;NaN;6;27;0;29.4988
3;0;3;NaN;8;31;1;37.2621
4;0;3;NaN;6;27;1;33.3399
5;0;3;NaN;9;30;1;39.0016
6;0;3;NaN;7;27;1;38.2211
7;0;3;NaN;7;26;1;36.319
8;0;3;NaN;7;27;1;35.2404
9;0;3;NaN;7;29;2;35.7175
10;0;3;NaN;7;24;1;35.6014
11;0;3;NaN;9;33;1;39.8437
12;0;3;NaN;7;27;0;32.6968
13;0;3;NaN;6;28;0;29.9063
14;0;3;NaN;8;32;0;34.5572
15;0;3;NaN;7;28;1;34.962
16;0;3;NaN;8;26;0;35.0126
17;0;3;NaN;9;33;0;34.1393
18;0;3;NaN;8;30;0;33.2831
19;0;3;NaN;8;29;1;36.497
20;0;3;NaN;8;28;2;41.0757
21;0;3;NaN;6;30;0;29.739
22;0;3;NaN;9;33;1;38.7027
23;0;3;NaN;7;31;1;34.2959
24;0;3;NaN;9;31;1;33.1793
25;0;3;NaN;9;31;5;49.2633
26;0;3;NaN;9;33;2;49.5186
27;0;3;NaN;7;31;0;34.2688
28;0;3;NaN;6;25;0;27.4987
29;0;3;NaN;9;30;1;32.916
30;0;3;NaN;7;31;1;47.3933
31;0;3;NaN;7;31;1;32.042
32;0;3;NaN;8;30;2;41.1774
33;0;3;NaN;7;26;0;31.36
34;0;3;NaN;7;30;2;33.726
35;0;3;NaN;8;33;1;35.7663
36;0;3;NaN;8;33;0;39.553
37;0;3;NaN;6;29;0;33.1039
38;0;3;NaN;9;31;0;35.6233
39;0;3;NaN;8;31;1;38.3329
40;0;3;NaN;7;24;1;29.68
41;0;3;NaN;9;33;0;32.644
42;0;3;NaN;8;30;1;32.364
43;0;3;NaN;7;24;2;36.4758
44;0;3;NaN;7;29;0;35.4376
45;0;3;NaN;9;34;2;45.6166
46;0;3;NaN;8;30;1;38.6749
47;0;3;NaN;4;21;0;26.197
48;0;3;NaN;6;24;1;33.7785
49;0;3;NaN;8;32;1;35.0372
50;0;3;NaN;8;30;1;36.3758
