round;alive_units;dead_units;average_hp;evades;attacks;health_picked;round_time
1;1;2;50.0;11;31;2;48.4838
2;3;0;46.66667;9;25;2;29.4988
3;3;0;43.33333;8;29;5;37.2621
4;3;0;30.0;9;27;2;33.3399
5;2;1;50.0;12;29;4;39.0016
6;3;0;40.0;9;26;4;38.2211
7;3;0;40.0;8;24;4;36.319
8;2;1;45.0;10;27;4;35.2404
9;3;0;33.33333;8;28;3;35.7175
10;3;0;40.0;7;25;4;35.6014
11;3;0;40.0;10;32;5;39.8437
12;3;0;43.33333;10;25;4;32.6968
13;2;1;30.0;9;24;2;29.9063
14;3;0;36.66667;9;29;5;34.5572
15;3;0;20.0;9;25;4;34.962
16;3;0;36.66667;8;25;5;35.0126
17;3;0;30.0;10;30;5;34.1393
18;3;0;36.66667;9;28;3;33.2831
19;2;1;40.0;10;27;4;36.497
20;3;0;43.33333;7;30;4;41.0757
21;3;0;23.33333;9;24;2;29.739
22;3;0;33.33333;10;31;4;38.7027
23;3;0;33.33333;9;30;4;34.2959
24;2;1;35.0;9;28;3;33.1793
25;3;0;26.66667;10;31;2;49.2633
26;2;1;45.0;11;32;5;49.5186
27;3;0;20.0;11;28;3;34.2688
28;2;1;40.0;8;23;3;27.4987
29;3;0;33.33333;9;27;2;32.916
30;3;0;50.0;11;31;5;47.3933
31;3;0;40.0;9;28;4;32.042
32;3;0;46.66667;10;30;4;41.1774
33;3;0;43.33333;8;27;4;31.36
34;3;0;36.66667;9;29;3;33.726
35;3;0;40.0;10;29;4;35.7663
36;2;1;40.0;11;28;5;39.553
37;3;0;36.66667;9;24;3;33.1039
38;2;1;45.0;9;29;5;35.6233
39;3;0;36.66667;9;28;6;38.3329
40;3;0;43.33333;7;23;3;29.68
41;3;0;10.0;12;30;2;32.644
42;2;1;35.0;9;27;4;32.364
43;3;0;33.33333;9;25;3;36.4758
44;3;0;33.33333;8;29;5;35.4376
45;1;2;40.0;11;31;4;45.6166
46;3;0;33.33333;9;30;5;38.6749
47;3;0;40.0;7;20;3;26.197
48;3;0;46.66667;9;24;4;33.7785
49;3;0;36.66667;9;30;4;35.0372
50;3;0;36.66667;9;29;4;36.3758
